customer_tweet_id,customer_message,brand_response,clean_customer_message
105429,Why does my Siri sound fucked up!!! Anyone else having this problem?? @AppleSupport,@139289 We'd be happy to look into this with you. Send us a DM and we'll continue working from there. https://t.co/GDrqU22YpT,Why does my Siri sound fucked up!!! Anyone else having this problem??
2207565,@645414 @115858 👁 shall only communicate in emoji,"@645413 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6",👁 shall only communicate in emoji
1044440,@AppleSupport phone fell from 0.5 metres and front screen shattered - how is it the strongest ever ? Replace it free ?? Where in Gurgaon?,@366961 Let's follow up in DM. We'll help look into more options for you there. https://t.co/GDrqU22YpT,phone fell from 0.5 metres and front screen shattered - how is it the strongest ever ? Replace it free ?? Where in Gurgaon?
1795211,@AppleSupport Hi 🍎 Since 11. 0.2 (15A421) my iphone needs at least 2 charges within 24h. How can you help me please ? Thx.,"@539449 We released 11.0.3 yesterday. https://t.co/80YRnjDFDk If you haven't updated, please try that and let us know how it goes. https://t.co/GDrqU22YpT",Hi 🍎 Since 11. 0.2 (15A421) my iphone needs at least 2 charges within 24h. How can you help me please ? Thx.
2695079,"@AppleSupport When I’m viewing existing messages, specifically captions on Instagram. I sent DM.",@754814 Thank you! We've received your DMs and will continue with you there.,"When I’m viewing existing messages, specifically captions on Instagram. I sent DM."
1082995,@118845 second time these have broken like this come on https://t.co/3JbyDNV9EG,@375459 Thanks for reaching out. DM the country or region where you are currently located to get started. https://t.co/GDrqU22YpT,second time these have broken like this come on
2836364,"Upgrading to iOS 11.1 totally fucked up my iPhone 7. Keeps hanging every 20 seconds, like it can't keep up with my taps. Thanks @115858","@584667 Just to confirm, are you on iOS 11.1 or 11.1.1? Find out in Settings &gt; General &gt; About.","Upgrading to iOS 11.1 totally fucked up my iPhone 7. Keeps hanging every 20 seconds, like it can't keep up with my taps. Thanks"
1541121,Dear @AppleSupport since upgrading my 6s+ to ios11 I’ve been having some major issues: random freezes &amp; wonky autocowrecked issues. Help?,"@477614 We can help with both issues. To confirm, are you using iOS 11.1 now? You can check under Settings &gt; General &gt; About",Dear since upgrading my 6s+ to ios11 I’ve been having some major issues: random freezes &amp; wonky autocowrecked issues. Help?
543796,"@AppleSupport Thank you, the update fixed it!",@246320 We're very happy to hear it. Let us know if there's anything else we can assist with in the future.,"Thank you, the update fixed it!"
2547112,@AppleSupport Nothing at all as far as I can tell. It’s happened ever since I transferred to my iPhone 8+ from iPhone 6s. Another issue is album artwork is all mixed up,@723893 Do you use Apple Music or did you originally sync through iTunes on a computer? Let us know more in DM. https://t.co/GDrqU22YpT,Nothing at all as far as I can tell. It’s happened ever since I transferred to my iPhone 8+ from iPhone 6s. Another issue is album artwork is all mixed up
865934,@AppleSupport Yes I did and it’s ok now but I downloaded these apps in every new apple account...so each of my account has these apps...I don’t want to mix them...,"@285178 Sounds like the issue is fixed. It shouldn't ask you for the old Apple ID now. If it does, reach back out, we'll be here to help.",Yes I did and it’s ok now but I downloaded these apps in every new apple account...so each of my account has these apps...I don’t want to mix them...
2303158,@AppleSupport is there a way to add a selected song to an Apple Music saved playlist?,@668308 We'd like to help. Check out this link for more information: https://t.co/6WkeKmZhv6 https://t.co/GDrqU22YpT,is there a way to add a selected song to an Apple Music saved playlist?
2149876,If you could fix this stupid little box thing that would be great @115858,@631837 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,If you could fix this stupid little box thing that would be great
2278724,@AppleSupport I tried. This is the result 😔 https://t.co/gc010D8TjU,@662550 Have you tried on a different network or on your mobile data?,I tried. This is the result 😔
2585630,@AppleSupport I️ miss being able to say ‘I’,"@732667 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6",I️ miss being able to say ‘I’
1742415,Yo @115858 what’s good with this new update? My phone keeps glitching when ii Type the letter “i” 🤦🏽‍♂️,@525594 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Yo what’s good with this new update? My phone keeps glitching when ii Type the letter “i” 🤦🏽‍♂️
1654571,@115858 what’s with the I️ key function failure?,@504980 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,what’s with the I️ key function failure?
1460591,"@AppleSupport So... my boss remotely logs in to her iMac over weekends. Lately, she has been unable to and finds the computer turned off?",@459001 We're happy to look in to this with you. Did this issue start after anything in particular?,"So... my boss remotely logs in to her iMac over weekends. Lately, she has been unable to and finds the computer turned off?"
993346,"@AppleSupport I have an iPhone 7 plus. Should I update IOS 11.0.3, I am confused as I am hearing a lot of complaints about battery and all.",@299677 iOS updates contain important security upgrades as well as new features. We advise all customers to stay up to date.,"I have an iPhone 7 plus. Should I update IOS 11.0.3, I am confused as I am hearing a lot of complaints about battery and all."
2480189,The fan on my Time capsule seems to have died. Is there any way of getting it repaired @AppleSupport? Don't really want to buy another!,@708759 We may have some options for you. DM us what country you're located in to get started. https://t.co/GDrqU22YpT,The fan on my Time capsule seems to have died. Is there any way of getting it repaired ? Don't really want to buy another!
2923667,"@115858 could you please release a GOOD update to iOS 11 and all those beta versions? Nobody can take it anymore. It cracks all the time and Apple Music won’t let us search songs. I’m about to throw this iPhone away and buy an Android. So, get better, fellows.","@809047 May we have a look? To start, can you tell us which version of iOS you're currently on? Also, when you try searching in Apple Music, what happens?","could you please release a GOOD update to iOS 11 and all those beta versions? Nobody can take it anymore. It cracks all the time and Apple Music won’t let us search songs. I’m about to throw this iPhone away and buy an Android. So, get better, fellows."
2552419,@AppleSupport since upgrading the Apple Watch software the battery drains very quickly,@351168 We’d be glad to look into that more. Can you start by confirming what model Watch you have as well as the current WatchOS and iOS version your devices have installed? Let us know in DM. https://t.co/GDrqU22YpT,since upgrading the Apple Watch software the battery drains very quickly
2757505,@AppleSupport 11.1.2,@771702 Okay. Tell us what exactly is happening with your autocorrect so that we can look into this for you. Go ahead and DM us below. https://t.co/GDrqU22YpT,11.1.2
2926512,Wtf does my 7 has to do with the iphoneX software update. Quit the bs @115858,"@809702 Hi there! We'd like to assist with any issues you're having. Can you please DM us, and let us know what's happening? https://t.co/GDrqU22YpT",Wtf does my 7 has to do with the iphoneX software update. Quit the bs
2868514,"Hey @AppleSupport @117735 my week old iPhone doesn't operate...AT ALL. For $1000 I would expect a little more, or at least a Genius appt. available before MONDAY. #goingandroid",@796622 We'd love to help out. What kind of issues are you having with the iPhone?,"Hey my week old iPhone doesn't operate...AT ALL. For $1000 I would expect a little more, or at least a Genius appt. available before MONDAY. #goingandroid"
1997087,"@AppleSupport I beg you speed up my phone recovery, 3 days is taking the piss","@590505 We understand. The more info you provide, the quicker we can get you back in. Tap here for tips: https://t.co/nXAGZj0EE7 https://t.co/GDrqU22YpT","I beg you speed up my phone recovery, 3 days is taking the piss"
1674724,Dear @AppleSupport please tell how I️ can fix this 🤯,@509554 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Dear please tell how I️ can fix this 🤯
1412653,@AppleSupport Yea I just updated to the latest iOS,@448280 Do the issues occur on cellular and Wi-Fi networks? Have you tried any steps on your own? This helps us to not repeat them.,Yea I just updated to the latest iOS
2001927,"Updating to iOS 11 seems to have killed my iPhone performance. All apps running in slow motion, battery life awful @115858 #iOS11 #not good",@591963 Let's help take a closer look into this with you. Please DM us the version of iOS you're using and we can go from there. https://t.co/GDrqU22YpT,"Updating to iOS 11 seems to have killed my iPhone performance. All apps running in slow motion, battery life awful #iOS11 #not good"
747772,"@AppleSupport Dear Team, My iPhone 6s Plus started misbehaving after new update. How to control him not to misbehave. #iOS10 @115858","@298750 We're excited to help. Could you give us a little more detail? The more we know, the better.","Dear Team, My iPhone 6s Plus started misbehaving after new update. How to control him not to misbehave. #iOS10"
2445252,@AppleSupport my iPhone X just dialed 911 by itself when my phone was in the holster on my waist.,"@553460 We want to make sure your iPhone X is only using Emergency SOS, when necessary. Here's how to use Emergency SOS on your iPhone X: https://t.co/OqERDeSFxl Is it possible that both the side button and Volume button were being pressed and held in your holster?",my iPhone X just dialed 911 by itself when my phone was in the holster on my waist.
1429739,"@AppleSupport My iPhone 5c is searching the network but isn't founding, and yes, i've checked my IMEI, and is it there. What is the problem?",@452054 We can help out. Let's start with these steps: https://t.co/5KootZbxj1,"My iPhone 5c is searching the network but isn't founding, and yes, i've checked my IMEI, and is it there. What is the problem?"
2872553,"@AppleSupport Yes, and it didn’t resolve the problem","@797551 Thank you for letting us know. Please send us a DM, and we'll continue working on this from there. https://t.co/GDrqU22YpT","Yes, and it didn’t resolve the problem"
2981630,@AppleSupport Yes I did. The messages I sent were after the force quit. That’s why I felt it wasn’t just a #Zombie! Well it’s #Halloween time anyway! :),"@544332 Let's get a fresh start with your Mac. If you haven't already, pause the updates you are doing then restart your Mac.",Yes I did. The messages I sent were after the force quit. That’s why I felt it wasn’t just a #Zombie! Well it’s #Halloween time anyway! :)
1598171,@180336 @AppleSupport Don’t need a stupid mermaid emoji.....I️ just want a vowel that won’t show up effed up,@495569 We know how important it is to have your auto-correct working as expected. See if this link helps: https://t.co/xXaXeeSRt9,Don’t need a stupid mermaid emoji.....I️ just want a vowel that won’t show up effed up
978353,@AppleSupport 11.0.2,"@352038 We released iOS 11.0.3 earlier today. Let's back up your iPhone and update. Then, please Tweet back for the next steps.",11.0.2
595786,"@AppleSupport at the last keynote they said the tv app was coming to the uk but there’s been no news since, any idea if that’s still happening?",@162157 We appreciate your interest and encourage you to stay up to date on Apple news here: https://t.co/gbIPLOsnZd,"at the last keynote they said the tv app was coming to the uk but there’s been no news since, any idea if that’s still happening?"
1394036,@AppleSupport i need to book an appointment in a store to pre order the X on the iPhone payment plan not the upgrade. But no one is helping.,@444200 Have you tried reaching out to our Online Sales Support team about this request? You'd reach out here: https://t.co/8yjRd1Xo0i,i need to book an appointment in a store to pre order the X on the iPhone payment plan not the upgrade. But no one is helping.
1133609,@AppleSupport The ones that came with the phone,"@272603 Next, does the iPhone charge all the way when using another Apple cable, outlet or power source?",The ones that came with the phone
2534863,"@AppleSupport It's not the battery life that's the problem, it's the fact that the decision whether to use her torch with a low battery should be hers, not yours. Giving her tips on how to extend the battery life is NOT the issue here.","@721222 We apologize for the misunderstanding. We’d like to gather some more information about what’s going on. Do you know the exact iOS version she’s running? Meet us over in DM with that, and we’ll work with you there. https://t.co/GDrqU22YpT","It's not the battery life that's the problem, it's the fact that the decision whether to use her torch with a low battery should be hers, not yours. Giving her tips on how to extend the battery life is NOT the issue here."
1211232,@AppleSupport Can you guys like just unlock it with the imei?,"@237141 For your security, it's best to get in touch with our advisors over the phone.",Can you guys like just unlock it with the imei?
1660057,@115858 fix this. https://t.co/GdCsm8gvNJ,@506432 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXefaskH,fix this.
432367,@AppleSupport still having problems with my battery😡 really unhappy!!!😡,@217831 We'd like to continue working with you on this issue in a DM. Send us one using the link below. https://t.co/GDrqU22YpT,still having problems with my battery😡 really unhappy!!!😡
803115,God knows what Apple has done to iPhone 7 with is latest iOS 11 phone is lagging and even gets unresponsive sometimes @AppleSupport @115858 https://t.co/GGxZ00rqwx,@311371 We want to ensure you're able to enjoy your device. Have you been able to update to iOS 11.0.3?,God knows what Apple has done to iPhone 7 with is latest iOS 11 phone is lagging and even gets unresponsive sometimes
1703957,@115858 can we fix this glitch please?,@516511 We'd love to help with any issues you're experiencing. Please let us know what's going on to ensure we're on the same page.,can we fix this glitch please?
889175,@AppleSupport iPhone 7plus. After the last 2 updates every time I start my vehicle the Bluetooth turns on and connects even if it’s turned off,@331099 Are you suing Control Center to turn off Bluetooth &gt; that has changed a bit under iOS 11 and you'll want to use the Settings app to turn it all the way off. More info here: https://t.co/akNi7hzzzX,iPhone 7plus. After the last 2 updates every time I start my vehicle the Bluetooth turns on and connects even if it’s turned off
34667,@AppleSupport - iPhone 6S Plus suddenly losing battery life since yesterday - % goes down by the second. Any ideas on what it might be?,"@123517 We can certainly take a look into this issue and work towards a resolution. To get started, what iOS version is on the iPhone?",- iPhone 6S Plus suddenly losing battery life since yesterday - % goes down by the second. Any ideas on what it might be?
431653,One of my biggest regret in life is updating to ios 11. Took me a life time to unlock my phone sometimes. @115858 you suck.,@217622 We're here to help. Does the phone stall on the lock screen? Let us know more details.,One of my biggest regret in life is updating to ios 11. Took me a life time to unlock my phone sometimes. you suck.
1331964,"@AppleSupport Phone freezes all the time, ringer for alarm doesn’t go off consistently, etc.",@430736 We expect you to have a great experience with iOS 11. Let's work together in DM to get things working as they should be. https://t.co/GDrqU22YpT,"Phone freezes all the time, ringer for alarm doesn’t go off consistently, etc."
181414,Bruh I️ message needs a night mode like twitter and fix the little question mark in the box @AppleSupport,"@158618 Hi there! the ""I"" issue was addressed in iOS 11.1.1. You can update to fix that by following these steps: https://t.co/80YRnjDFDk",Bruh I️ message needs a night mode like twitter and fix the little question mark in the box
1305653,"@AppleSupport iOS 11.0.3, 6 won’t give me best route to/from work/home when connecting to car’s BT, even with DND off.",@425112 Let's help take a closer look. Does the same behavior happen when not connected via Bluetooth?,"iOS 11.0.3, 6 won’t give me best route to/from work/home when connecting to car’s BT, even with DND off."
1713747,@AppleSupport 11.1,@518997 Thanks! Let's continue our conversation in DM. https://t.co/GDrqU22YpT,11.1
1918921,"@AppleSupport The last two iPhones I have owned, including the one I have now, the battery drops to 20% as soon as it hits the cold air. What am I supposed to do about it?",@571452 We're here to help. DM us which iOS software you are running to continue. You can find this in Settings &gt; General &gt; About. https://t.co/GDrqU22YpT,"The last two iPhones I have owned, including the one I have now, the battery drops to 20% as soon as it hits the cold air. What am I supposed to do about it?"
2583121,@AppleSupport waited weeks for my iPhone X. Arrived with malfunctioning screen. Your solution? Order again and wait several more weeks. Seriously?,@732025 Thanks for contacting us about your device. This certainly not an experience we want you to have. We'd like to get more info. Let's meet in DM. https://t.co/GDrqU22YpT,waited weeks for my iPhone X. Arrived with malfunctioning screen. Your solution? Order again and wait several more weeks. Seriously?
1991428,@AppleSupport um why can’t my phone display the letter “I️” ? https://t.co/4TK2FoMfSD,@588909 We're here to help. DM us which type of iPhone and version of iOS you're using in Settings&gt;General&gt;About to get started: https://t.co/GDrqU22YpT,um why can’t my phone display the letter “I️” ?
90310,@135589 @AppleSupport @115858 I can confirm the behavior on my machine running 10.13.1. Absolutely unbelievable!,"@805192 We'd like to take a closer look at what's happening. DM us with more details, including what type of Mac you're using. We'll look forward to chatting with you further. https://t.co/GDrqU22YpT",I can confirm the behavior on my machine running 10.13.1. Absolutely unbelievable!
1713007,Apple also needs to fix how my music stops playing when I get a notification. I’m so annoyed. Y’all fucked up. @115858,"@518480 Let team up on this. Are you playing music from the Music app? Also, which device model and operating system are you using?",Apple also needs to fix how my music stops playing when I get a notification. I’m so annoyed. Y’all fucked up.
1197542,@AppleSupport my MacBook is showing a restricted symbol upon start up. What can I do to troubleshoot?,@401374 We're happy to help. DM us at the link below for further assistance. https://t.co/GDrqU22YpT,my MacBook is showing a restricted symbol upon start up. What can I do to troubleshoot?
2247047,@AppleSupport How do I transfer PDFs in my ibooks from one iPad to another ?,@654845 You're in the right place; we'll do all we can to help. You can share PDFs between your iOS devices with AirDrop. See how to do that here: https://t.co/VVUI2JIcyd,How do I transfer PDFs in my ibooks from one iPad to another ?
1168443,"@115858 @AppleSupport ever since I downloaded the new update, my iphone 6s keeps freezing and I have too reset it, any tips to solve this?",@394838 Let's work together on this. Send us a DM by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT,"ever since I downloaded the new update, my iphone 6s keeps freezing and I have too reset it, any tips to solve this?"
1948543,@AppleSupport how do i fix this notification? won’t go away when i delete the event. https://t.co/FoeVcJvKzC,@578922 We can definitely partner with you on this. Have you had a chance to force quit the Calendar app: https://t.co/qyCtTUs7VU,how do i fix this notification? won’t go away when i delete the event.
2734387,@AppleSupport @115858 The service at Stratford Westfield is piss poor! Get better service at a chicken and chip shop,@766378 This is not the experience we'd expect you to have. Reach out to us via DM and let us know the details. https://t.co/GDrqU22YpT,The service at Stratford Westfield is piss poor! Get better service at a chicken and chip shop
1244426,@AppleSupport I’m on 11.0.3,@411943 Thanks you for that information. Do you have any available updates for apps in the App Store? DM us back. https://t.co/GDrqU22YpT,I’m on 11.0.3
693971,"@AppleSupport got a massive issue with Customer Care, have given up with my complaint, next action legal..",@285472 We want to hear about your experience. Please send us a DM with more details. https://t.co/GDrqU22YpT,"got a massive issue with Customer Care, have given up with my complaint, next action legal.."
2143942,LOOK @115858 YALL ARE ABOUT TO PISS ME OFF WITH MY I️’s GLITCHING. FIX IT.,@630344 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,LOOK YALL ARE ABOUT TO PISS ME OFF WITH MY I️’s GLITCHING. FIX IT.
1053717,@AppleSupport IOS 11 and its updates have destroyed my Red IPhone 7 Plus. @2310 Battery life✖️Messaging✖️Safari✖️It’s been 3 weeks!!!!,@368978 We can certainly help get this resolved. Which version of iOS is currently installed on your iPhone?,IOS 11 and its updates have destroyed my Red IPhone 7 Plus. Battery life✖️Messaging✖️Safari✖️It’s been 3 weeks!!!!
345490,How come when I take a screenshot it doesn’t show me doing it on my screen like it doesn’t do that flash thing? @AppleSupport,"@165018 We want things working as intended. Does the screenshot option work? Let us know in DM, please. https://t.co/GDrqU22YpT",How come when I take a screenshot it doesn’t show me doing it on my screen like it doesn’t do that flash thing?
2012399,Oh hell no i just did that going to my settings to fix my “i” and i see this bull shit pop back up @115858 !? The fuck going on ?,@595066 Let's work together to get this resolved. Can you DM us the device you are using and the iOS your device is running on? https://t.co/GDrqU22YpT,Oh hell no i just did that going to my settings to fix my “i” and i see this bull shit pop back up !? The fuck going on ?
1630150,@AppleSupport Y’all the real MVP,@498949 Thank you. We hope you have a day!,Y’all the real MVP
446447,@AppleSupport Podcasts in the iOS Podcast app are perpetually downloading and never finishing. I’m on wi-fi with plenty of storage space. Please help!,"@220746 Let's work together to get those podcasts downloaded. First, can you tell us if this happens while connected to a different network as well? Also, does this happen with all episodes or just some?",Podcasts in the iOS Podcast app are perpetually downloading and never finishing. I’m on wi-fi with plenty of storage space. Please help!
1093365,".@115858 when I want to turn off Bluetooth and Wi-Fi, I really want to turn off Bluetooth and Wi-Fi. FFS! #ios11",@378035 Hey there! The controls in Control Center only disconnect. Turn them off in Settings. More info here: https://t.co/G7BHuQFeJE,". when I want to turn off Bluetooth and Wi-Fi, I really want to turn off Bluetooth and Wi-Fi. FFS! #ios11"
42621,@AppleSupport 11.1. Happening on my iPad as well so version number.,@125419 Let's move to DM for a closer look. Does it happen in all apps or only particular ones? https://t.co/GDrqU22YpT,11.1. Happening on my iPad as well so version number.
1857927,"@555564 @AppleSupport Mine drops 30-40% in less than an hour just listening to a podcast and doing basic browsing. I've optimized all I can, per guides. 👎😡","@367401 Hey there, we see you're reporting some battery issues with iOS 11. We'd love to investigate further. Please send us a DM. https://t.co/GDrqU22YpT","Mine drops 30-40% in less than an hour just listening to a podcast and doing basic browsing. I've optimized all I can, per guides. 👎😡"
1456472,@AppleSupport WHY ARE MESSAGES SENDING TWICE!?? This update is 💩💩💩😤,@458045 We’re here to help. Let’s team up in DM and we’ll do our best to assist you. https://t.co/GDrqU22YpT,WHY ARE MESSAGES SENDING TWICE!?? This update is 💩💩💩😤
878873,Lo de @115858 y sus últimas actualizaciones de iOS es lo peor que he visto en smartphones. Todos los días un problema nuevo.,@328651 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,Lo de y sus últimas actualizaciones de iOS es lo peor que he visto en smartphones. Todos los días un problema nuevo.
