pair_id,customer_message,historical_reply,candidate_type,gold_intent,escalation_label,notes
99,Wtf @115858 fix this “ I️ “ problem,"@659634 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",ambiguous,,,
100,Hey @AppleSupport stop automatically turning on my WiFi and Bluetooth every 10 minutes. Gah damn. I want that shit off bro,"@822742 Let’s see what’s causing this. As a starting point, which device and operating system are you using?",category_candidate,,,
101,@115858 why is the I️ not working on the keyboard with the new update?,@501449 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,category_candidate,,,
102,@AppleSupport when i open snapchat or get a snapchat from someone and I’m listening to music my music stops or my apple music app crashes and when i’m reading an e-book sometimes my music will just mute itself i have an iphone 7 that is up to date with iOS 11.2,@692953 We want to help you get your music back on the right track. Join us in DM and we'll start working on this together. https://t.co/GDrqU22YpT,category_candidate,,,
103,@AppleSupport Yes and still getting notifications . But okay ima hit y’all up,@203983 We look forward to working with you to resolve this. https://t.co/GDrqU22YpT,category_candidate,,,
104,It’s a good idea not to upgrade to iOS 11 until @115858 fixes battery drain issues. Too bad I was quick in doing so. 😏,"@607731 You should be able to rely on your iPhone, without worrying about battery life. Let's sort this out together. DM us with details: https://t.co/GDrqU22YpT",category_candidate,,,
105,@AppleSupport 11.0.3 iphone Previous for iPad,@324867 This link has steps on how to turn off Bluetooth and Wi-Fi on your devices: https://t.co/G7BHuQnDS6 DM us with questions. https://t.co/GDrqU22YpT,ambiguous,,,
106,.@AppleSupport $78 or $79 accidental purchase..please assist.,"@760383 We'd like to help. To get started, send us a DM including the device you have. We'll continue there. https://t.co/GDrqU22YpT",category_candidate,,,
107,"@AppleSupport Heard good things about iMovie. Is it true I can now get it on Windows? If so, where do I download it? Apple website perhaps? Hope you can help, I'm looking for an editor after Youtube deleted its Video Editor tool. Thanks.",@694702 We appreciate your interest in iMovie. It is only available for Apple devices.,category_candidate,,,
108,@AppleSupport looks like someone in support should be able to reset Apple ID #6 weeks still waiting,@281930 Did you request Account Recovery for your Apple ID? Check out this link to learn how to check the status: https://t.co/nXAGZjifvF,category_candidate,,,
109,@AppleSupport Contact you through here?,"@204094 Yes, that's right. Send us a DM if you'd prefer to continue there. https://t.co/GDrqU22YpT",ambiguous,,,
110,@321041 @115858 Seriously battery is draining like anything. I have to top us the phone after 2 hours daily &amp; it’s really annoying 😢😓,@560353 Let's take a look at this together. Have you already updated to iOS 11.0.3? Let us know in DM and we'll get started. https://t.co/GDrqU22YpT,category_candidate,,,
111,@AppleSupport Already changed my password and will not let me update apps on my Mac. Still receiving this message. https://t.co/an5JIQ4YSg,"@125430 With the error you're receiving, we're going to have you reach out to our iTunes Store for assistance: https://t.co/SDIe7UiyJN",category_candidate,,,
112,.@116333 why have the Control Center BT &amp; WiFi buttons become useless in #ios11 ? ‘Sequence extended to make things inconvenient’,"@514729 Hey there! In iOS 11, there's been some changes with using Wi-Fi and Bluetooth in Control Center: https://t.co/G7BHuQnDS6",category_candidate,,,
113,Yo @115858 fix I️ this,@523783 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,ambiguous,,,
114,I updated my phone and still seeing boxes for Why @AppleSupport ?,"@591489 We'd like to help with the problem you're having with text. Please send us a DM, and we'll look into this with you. https://t.co/GDrqU22YpT",category_candidate,,,
115,@115858 Everything is good except bullshit IOs 11. Never expected shitty software from apple. My iphone 6s plus battery drain 2x faster than earlier,@609176 We want you to be able to rely on your battery. Please send us a DM with the exact iOS version you're using. https://t.co/GDrqU22YpT,category_candidate,,,
116,@115858 there is no reason why my phone battery should go from 66% to 53% charged in 30 sec. On to @125607. Tired of this crap.,@607127 Many factors can affect battery life. Try using these steps: https://t.co/bivpdfBNJ6 DM us if you still need help. https://t.co/GDrqU22YpT,category_candidate,,,
117,"@AppleSupport When I first updated I was unable to connect to any wifi network, after 11.0.1 it got back. Sometimes it joins automatically but mostly asks again for the password. All other devices connect just fine, I got an i7, same happens with another i6",@667357 We understand. Let's take a closer look at this issue together in DM. https://t.co/GDrqU22YpT,category_candidate,,,
118,"@AppleSupport When i turn it on, the keyboard won’t work so i can’t put my password and the trackpad won’t work either",@154491 Thanks again. Let's try a simple reset to begin. This article will guide you: https://t.co/FYojVXHuwn,category_candidate,,,
119,"I don’t know what the latest @115858 update did to my phone, but its royally screwed it up. My next phone will not be Apple.",@623471 We want to help with your iPhone. Please DM us details of the issues you're experiencing. We'll look into this with you there. https://t.co/GDrqU22YpT,category_candidate,,,
120,"My notification screen in iOS 11 keeps crashing (displaying only background) 😡🤬😡 Halp, @AppleSupport!",@472371 Let's look at it together. Which version of iOS 11 do you have installed currently? Does this happen from the Home or Lock screen?,category_candidate,,,
121,@115858 I️ need fucking answers. I️ am mad,@529198 What can we help with? We can assist.,ambiguous,,,
122,@AppleSupport 7 Plus and most recent,@123671 Thank you. Please send us a DM and tell us the specific version number you see under Settings &gt; General &gt; About &gt; Version. https://t.co/GDrqU22YpT,ambiguous,,,
123,@115858 why can’t one access photos that are in the cloud? What’s the point of having photos on your phone then or paying for iCloud?,@173018 We want you to be able to access your photos. What exactly are you seeing happen?,category_candidate,,,
124,@AppleSupport Updated to iOS11.0.2,@326642 Thanks for letting us know. Let's move to DM so we can look into this with you. Click the link when you are ready to begin. https://t.co/GDrqU22YpT,ambiguous,,,
125,How is this even possible @115858 help me?!,"@234808 We know how important your storage is, so we'd be happy to look into what's going on. To start, can you DM us which device and software version you're using and we'll continue from there. https://t.co/GDrqU22YpT",ambiguous,,,
126,@AppleSupport As I click the mailboxes it shows home screen instead of mails. Thank you for your reply.,@192852 Is the Mail app closing when you click on mailboxes?,category_candidate,,,
127,@AppleSupport I am using Apple Music and my phone is right next to the speaker,@173759 Does the behavior persist if you unpair and pair the speaker back up?,category_candidate,,,
128,@AppleSupport DM sent,@327180 Thank you! Please look for our response to your DM shortly.,ambiguous,,,
129,@AppleSupport Both SE on latest software,"@638628 Thanks! To confirm, are you running iOS 11.0.3? If so, when did you update to those versions?",ambiguous,,,
130,@115858 fix my battery life,@193541 We'd like to work with you to find the best solution. What type of device are you using? Tell us via DM. https://t.co/GDrqU22YpT,ambiguous,,,
131,"Apple music get your shit together, i haven’t been able to use it for a week and a half now @115858",@739260 We want to partner with you to get your Apple Music back up and running. Can you tell us a bit more about what's going on?,category_candidate,,,
132,WTF IS WRONG WITH MY I!?!? @115858 @797,@492491 We have a workaround for you. Check it out here and DM the result: https://t.co/sDSg93LaFu https://t.co/GDrqU22YpT,ambiguous,,,
133,"@AppleSupport #iOS11.1 not getting any notifications anymore, Top time date and carrier details missing 😡",@480068 We'd be happy to look into this with you. DM what type of device you are using so we can get started. https://t.co/GDrqU22YpT,category_candidate,,,
134,@AppleSupport How do I get the time to show on the lock screen with this new update? https://t.co/gZTEpZgzAd,@585412 Let's help get this sorted. Does this occur every time you attempt to access the Lock Screen? What version of iOS are you running?,category_candidate,,,
135,Hate this new iPhone update 👺 phone crashes all the time now and touch screen sometimes doesn’t work. @AppleSupport - sort it out!,@614802 We'd like to help you get this sorted out. Does your iPhone completely power off when this happens? Let us know in DM. https://t.co/GDrqU22YpT,category_candidate,,,
136,"I don't want to sound ungrateful for what I have, but it's annoying as hell when my @115858 laptop is at low battery after an hour of use",@534586 We can understand how that would be an issue. Let's look into that further. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,category_candidate,,,
137,Apple Watch restarts when asking Siri the weather .@115858 needs to fix this https://t.co/arZ5PALnxX #applewatch #iOS11 https://t.co/Dvr2uAM7RJ,@463980 We'd like to look into this. Send us a DM and we'll start there. Thanks. https://t.co/GDrqU22YpT,category_candidate,,,
